"ID","ActionType","Classification","StartTime","LastUpdatedTime","EndTime","ActionRequiredByDate","MessageType","PostIncidentDocumentURL","Severity","Title","Category","ExternalLink","IsMajorChange","AppliesTo","MilestoneDate","Milestone","BlogLink","HelpLink"
"MC248392","Awareness","Advisory","02-Apr-2021 19:13","04-May-2021 20:44","31-Jan-2022 08:00",,"MessageCenter",,"Normal","(Updated) Spoof intelligence management enhancements for policy, insights and report","Plan For Change","","True","All","02-Apr-2021 19:13","Announcement","",""
"MC248201","Awareness","Advisory","01-Apr-2021 23:35","17-Aug-2021 20:06","30-Nov-2021 07:00",,"MessageCenter",,"Normal","(Updated) Quick Create – Easily Create Power BI Reports from Lists","Plan For Change","","True","All","01-Apr-2021 23:35","Announcement","",""
"MC247827","Awareness","Advisory","30-Mar-2021 23:00","12-Oct-2021 19:41","31-Jan-2022 07:00",,"MessageCenter",,"Normal","(Updated) Apply granular conditional access policies to SharePoint Online sites via sensitivity labels (preview)","Stay Informed","","False",,"30-Mar-2021 23:00","","",""
"MC247825","Awareness","Advisory","30-Mar-2021 22:55","30-Mar-2021 22:56","31-Jan-2022 08:00",,"MessageCenter",,"Normal","Teams for your personal life banners","Plan For Change","","True","All","30-Mar-2021 22:55","Announcement","",""
"MC247656","Awareness","Advisory","30-Mar-2021 00:06","17-Aug-2021 20:25","17-Dec-2021 07:00",,"MessageCenter",,"Normal","(Updated) PowerPoint Live: Present to Teams from PowerPoint Web App","Stay Informed","","False",,"30-Mar-2021 00:06","","",""
"MC246270","Awareness","Advisory","25-Mar-2021 00:27","25-Mar-2021 00:28","31-Oct-2021 07:00",,"MessageCenter",,"Normal","New release cycles and options for Microsoft Edge","Stay Informed","","False",,"25-Mar-2021 00:27","","https://blogs.windows.com/msedgedev/2021/03/12/new-release-cycles-microsoft-edge-extended-stable/",""
"MC245855","Awareness","Advisory","23-Mar-2021 01:23","23-Mar-2021 01:23","31-Jan-2022 08:00",,"MessageCenter",,"Normal","Update on UserVoice sites","Stay Informed","https://support.microsoft.com/topic/uservoice-pages-430e1a78-e016-472a-a10f-dc2a3df3450a","False",,"23-Mar-2021 01:23","","",""
"MC243945","Awareness","Advisory","10-Mar-2021 00:29","30-Jul-2021 09:48","31-Oct-2021 07:00",,"MessageCenter",,"Normal","(Updated) SharePoint Events web part will display event images","Stay Informed","","False",,"10-Mar-2021 00:29","","",""
"MC242581","Awareness","Advisory","03-Mar-2021 00:14","03-Mar-2021 00:15","17-Feb-2022 08:00",,"MessageCenter",,"Normal","New bank accounts are no longer supported in US/France/Italy/Spain/Belgium/Portugal/Luxembourg","Stay Informed","https://docs.microsoft.com/microsoft-365/commerce/billing-and-payments/manage-payment-methods","True","All","03-Mar-2021 00:14","Announcement","",""
"MC242335","Action","Advisory","02-Mar-2021 01:03","02-Mar-2021 01:04","31-Jan-2022 08:00","31-Jul-2021 07:00","MessageCenter",,"Normal","Reminder: Skype for Business Online retires July 31, 2021","Plan For Change","https://docs.microsoft.com/microsoftteams/skype-for-business-online-retirement","True","All","02-Mar-2021 01:03","Announcement","https://techcommunity.microsoft.com/t5/microsoft-teams-blog/skype-for-business-online-will-retire-in-12-months-plan-for-a/ba-p/1554531",""
"MC240613","Awareness","Advisory","20-Feb-2021 00:16","10-Aug-2021 20:12","31-Oct-2021 07:00",,"MessageCenter",,"Normal","(Updated) Feature Update: Modern comments in Word (Mac)","Plan For Change","","True","All","20-Feb-2021 00:16","Announcement","",""
