"AffectedWorkloadDisplayNames","AffectedWorkloadNames","Status","Workload","WorkloadDisplayName","ActionType","AdditionalDetails","AffectedTenantCount","AffectedUserCount","Classification","EndTime","Feature","FeatureDisplayName","UserFunctionalImpact","Id","ImpactDescription","LastUpdatedTime","MessageType","Messages","PostIncidentDocumentUrl","Severity","StartTime","TenantParams","Title"
"System.Object[]","System.Object[]","Service restored","cloudappsecurity","Cloud App Security",,"System.Object[]","0",,"Advisory","04/05/2021 15:45:00","Microsoft Cloud App Security","Microsoft Cloud App Security","","CS254208","Users may have been unable to receive email notifications from Cloud App Security.","04/05/2021 16:49:09","Incident","System.Object[]","","","30/04/2021 11:08:00","System.Object[]","Some users may not be receiving email notifications from Cloud App Security"
"System.Object[]","System.Object[]","Service restored","cloudappsecurity","Cloud App Security",,"System.Object[]","0",,"Advisory","08/10/2021 10:32:00","Cloud App Security","Cloud App Security","","CS290079","Users may have experienced issues when signing in to specific Cloud Apps within Microsoft Cloud App Security.","08/10/2021 12:49:58","Incident","System.Object[]",,"Sev2","07/10/2021 23:00:00","System.Object[]","Signing in issues"
"System.Object[]","System.Object[]","Service restored","Microsoft365Defender","Microsoft 365 Defender",,"System.Object[]","0",,"Advisory","13/09/2021 11:40:00","Microsoft Defender for Endpoint","Microsoft Defender for Endpoint","","DZ284692","Users were unable to export a devices timeline within M365Defender.","17/09/2021 02:23:29","Incident","System.Object[]",,"Sev2","13/09/2021 07:00:00","System.Object[]","Users were unable to export a devices timeline within M365Defender"
"System.Object[]","System.Object[]","Service restored","Microsoft365Defender","Microsoft 365 Defender",,"System.Object[]","0",,"Advisory","17/09/2021 20:00:00","Microsoft Defender for Endpoint","Microsoft Defender for Endpoint","","DZ285770","Admins may have been missing alerts and events when using Microsoft Defender for Endpoint.","19/09/2021 07:49:17","Incident","System.Object[]",,"Sev2","13/09/2021 06:00:00","System.Object[]","Admins may have been missing alerts and events when using Microsoft Defender for Endpoint"
"System.Object[]","System.Object[]","Service restored","Microsoft365Defender","Microsoft 365 Defender",,"System.Object[]","0",,"Advisory","12/10/2021 22:09:46","Microsoft Defender for Endpoint","Microsoft Defender for Endpoint","","DZ285882","Users' Microsoft Office, Adobe Reader, and other applications may not have responded under specific circumstances.","12/10/2021 22:43:18","Incident","System.Object[]",,"Sev2","16/09/2021 22:00:00","System.Object[]","Users' Microsoft Office, Adobe Reader, and other applications might stop responding under specific circumstances"
"System.Object[]","System.Object[]","Service restored","Microsoft365Defender","Microsoft 365 Defender",,"System.Object[]","0",,"Advisory","24/09/2021 21:00:00","Microsoft Defender for Endpoint","Microsoft Defender for Endpoint","","DZ287294","Admins may have seen invalid false positives in threat and vulnerability management via Microsoft Defender for Endpoint","24/09/2021 22:46:05","Incident","System.Object[]",,"Sev2","23/09/2021 21:00:00","System.Object[]","Admins may see invalid false positives in threat and vulnerability management via Microsoft Defender for Endpoint"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Advisory","19/06/2021 01:00:00","Provisioning","Management and Provisioning","","EX248435","Admins may have been unable to submit items older than seven days in the Submissions portal in the SCC.","21/06/2021 19:45:23","Incident","System.Object[]","","","02/04/2021 19:00:00","System.Object[]","Admins can't submit items older than seven days in the Submissions portal in the Security & Compliance Center (SCC)"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Advisory","31/05/2021 02:37:00","Networking Issues","Networking Issues","","EX249095","Users were unable to share some calendars with other users via all Exchange Online connection methods.","01/06/2021 10:45:08","Incident","System.Object[]","","","03/01/2021 23:47:00","System.Object[]","Users were unable to share some calendars with other users"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Incident","22/04/2021 15:45:00","Access","E-Mail and calendar access","","EX250788","Users may have been unable to open IRM messages via any Exchange Online connection method.","23/04/2021 21:48:39","Incident","System.Object[]","","","24/03/2021 15:00:00","System.Object[]","Users are unable to open Information Rights Management (IRM) messages via any Exchange Online connection method"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Advisory","28/04/2021 19:00:00","Provisioning","Management and Provisioning","","EX250992","Admins were unable to migrate mailboxes from Exchange 2010 to Exchange Online.","28/04/2021 21:12:08","Incident","System.Object[]","","","07/04/2021 09:17:00","System.Object[]","Admins are unable to migrate mailboxes from Exchange 2010 to Exchange Online"
